"Тип записи";"0_Код";"0_Признак закрытого ЛПУ";"0_Причина закрытия";"0_Дата закрытия";"0_Дата повторного открытия после закрытия";"0_Полное наименование согласно документам";"1_Название";"1_Краткое наименование";"1_Административный округ по территориальной принадлежности";"1_Ведомственность";"1_Главное ЛПУ";"1_Адрес  гл организации";"1_Адресная строка";"1_Индекс";"1_Область";"""1_слово """"Область""""""";"1_Район";"""1_слово """"Район""""""";"1_тип населенного пункта";"1_Населенный пункт";"1_Название улицы";"1_Тип улицы";"1_Дом";"""1_""""буква"""" дома""";"1_корпус";"1_строение";"0_Идентификатор в адресном реестре";"1_код общего телефона";"1_факс";"1_Дополнительная информация";"1_Тип аптеки";"1_специализация";"1_Льготное лекарственное обеспечение";"1_Обеспечение рецептов";"0_GUID";"1_Руководитель";"0_Пол руководителя";"1_Должность руководителя";"1_телефон руководителя";"1_Дни, по которым выполняется данное расписание";"1_Часы работы";"1_Дни, по которым выполняется данное расписание";"1_выходные дни";"1_платные услуги";"1_бесплатные услуги";"1_Коечный фонд";"1_Отделения";"1_Койкофонд";"1_Смены заездов в санатории";"1_Койкофонд";"1_Уровень стационара"
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"105187, г. Москва, ул. Мироновская, д. 18";105187;"Москва";"область";;;"Город";"Москва";"Мироновская";"улица";18;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"117186, г. Москва, Нагорный бульв., д. 9";117186;"Москва";"область";;;"Город";"Москва";"Нагорный";"бульвар";9;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"117420, г. Москва, ул. Профсоюзная, д. 43, корп. 2";117420;"Москва";"область";;;"Город";"Москва";"Профсоюзная";"улица";43;;2;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"115230, г. Москва, Каширское шоссе, д. 4, корп. 1";115230;"Москва";"область";;;"Город";"Москва";"Каширское";"шоссе";4;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"105118, г. Москва, проспект Буденного, д. 1/1";105118;"Москва";"область";;;"Город";"Москва";"Буденного";"проспект";"1/1";;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"115407, г. Москва, ул. Судостроительная, д. 30, корп. 1";115407;"Москва";"область";;;"Город";"Москва";"Судостроительная";"улица";30;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"125212, г. Москва, Кронштадский бульвар, д. 9, стр. 1";125212;"Москва";"область";;;"Город";"Москва";"Кронштадский";"бульвар";9;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"121069, г. Москва, Мерзляковский переулок, д.10";121069;"Москва";"область";;;"Город";"Москва";"Мерзляковский";"переулок";10;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"125367, г. Москва, ул. Габричевского, д. 10, корп. 2";125367;"Москва";"область";;;"Город";"Москва";"Габричевского";"улица";10;;2;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"111020, г. Москва, ул. Госпитальный вал, д. 18/1";111020;"Москва";"область";;;"Город";"Москва";"Госпитальный";"вал";"18/1";;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Джайт""";;;;"ООО ""Джайт""";;"117208, г. Москва, ул. Первомайская, д.80";117208;"Москва";"область";;;"Город";"Москва";"Первомайская";"улица";80;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Джайт""";;;;"ООО ""Джайт""";;"115477, г. Москва, Пролетарский проспект, д.25";115477;"Москва";"область";;;"Город";"Москва";"Пролетарский";"проспект";25;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""САМСОН-ФАРМА""";;;;"ООО ""САМСОН-ФАРМА""";;"127083, г. Москва, ул. 8 Марта, д. 1, стр. 12";127083;"Москва";"область";;;"Город";"Москва";"8 Марта";"улица";1;;;12;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"Общество с ограниченной ответственностью ""Докафарм""";;;;"Общество с ограниченной ответственностью ""Докафарм""";;"141201, г. Москва, ул. Октябрьская, д. 89";141201;"Москва";"область";;;"Город";"Москва";"Октябрьская";"улица";89;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"105005, г. Москва, ул. Бауманская, д. 35/1, стр. 1";105005;"Москва";"область";;;"Город";"Москва";"Бауманская";"улица";"35/1";;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"105064, г. Москва, ул. Земляной Вал, д. 25, стр. 1А";105064;"Москва";"область";;;"Город";"Москва";"Земляной";"вал";25;;;"1А";;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"119313, г. Москва, Ленинский проспект, д. 90";119313;"Москва";"область";;;"Город";"Москва";"Ленинский";"проспект";90;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"123103, г. Москва, ул. Генерала Белова, д. 35";123103;"Москва";"область";;;"Город";"Москва";"Генерала Белова";"улица";35;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"111538, г. Москва, ул. Вешняковская, д. 18 а";111538;"Москва";"область";;;"Город";"Москва";"Вешняковская";"улица";18;"А";;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"105187, г. Москва, Измайловское шоссе, д. 69 Д";105187;"Москва";"область";;;"Город";"Москва";"Измайловское";"шоссе";69;"Д";;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"115580, г. Москва, Ореховый бульвар, д. 45, корп. 1";115580;"Москва";"область";;;"Город";"Москва";"Ореховый";"бульвар";45;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"129164, г. Москва, ул. Ярославская, д. 8, корп. 4";129164;"Москва";"область";;;"Город";"Москва";"Ярославская";"улица";8;;4;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"119019, г. Москва, Гагаринский переулок, д. 1/3/2";119019;"Москва";"область";;;"Город";"Москва";"Гагаринский";"переулок";"1/3/2";;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"109439, г. Москва, Рязанский проспект, д. 97";109439;"Москва";"область";;;"Город";"Москва";"Рязанский";"проспект";97;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"101000, г. Москва, ул. Мясницкая, д. 22/2/5, стр. 1";101000;"Москва";"область";;;"Город";"Москва";"Мясницкая";"улица";"22/2/5";;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"111141, г. Москва, ул. Перовская, д. 33, корп. 1";111141;"Москва";"область";;;"Город";"Москва";"Перовская";"улица";33;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"127549, г. Москва, Алтуфьевское шоссе, д. 64";127549;"Москва";"область";;;"Город";"Москва";"Алтуфьевское";"шоссе";64;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"113035, г. Москва, Климентовский пер., д. 12, стр. 1";113035;"Москва";"область";;;"Город";"Москва";"Климентовский";"переулок";12;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"119421, г. Москва, ул. Обручева, д. 11";119421;"Москва";"область";;;"Город";"Москва";"Обручева";"улица";11;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"115088, г. Москва, ул. Шарикоподшипниковская, д. 32";115088;"Москва";"область";;;"Город";"Москва";"Шарикоподшипниковская";"улица";32;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"123631, г. Москва, ул. Маршала Катукова, д. 25";123631;"Москва";"область";;;"Город";"Москва";"Маршала Катукова";"улица";25;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121165, г. Москва, Кутузовский проспект, д. 26, стр. 1";121165;"Москва";"область";;;"Город";"Москва";"Кутузовский";"проспект";26;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121087, г. Москва, ул. Барклая, д. 10 А";121087;"Москва";"область";;;"Город";"Москва";"Барклая";"улица";10;"А";;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125047, г. Москва, ул. 1-я Тверская-Ямская, д. 8, стр. 1";125047;"Москва";"область";;;"Город";"Москва";"1-я Тверская-Ямская";"улица";8;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"127521, г. Москва, ул. Октябрьская, д. 60, корп. 1";127521;"Москва";"область";;;"Город";"Москва";"Октябрьская";"улица";60;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121467, г. Москва, ул. Истринская, д. 10, кор. 1";121467;"Москва";"область";;;"Город";"Москва";"Истринская";"улица";10;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125627, г. Москва, ул. Митинская, д. 40";125627;"Москва";"область";;;"Город";"Москва";"Митинская";"улица";40;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"117321, г. Москва, ул. Профсоюзная, вл. 129, стр. 1";117321;"Москва";"область";;;"Город";"Москва";"Профсоюзная";"улица";129;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"132060, г. Москва, ул. Народного Ополчения, д. 45";132060;"Москва";"область";;;"Город";"Москва";"Народного Ополчения";"улица";45;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125009, г. Москва, Страстной бульвар, д. 4, стр. 1";125009;"Москва";"область";;;"Город";"Москва";"Страстной";"бульвар";4;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"105318, г. Москва, ул. Щербаковская, д. 5";105318;"Москва";"область";;;"Город";"Москва";"Щербаковская";"улица";5;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"111250, г. Москва, ул. Красноказарменная, д. 23 А, стр. 1";111250;"Москва";"область";;;"Город";"Москва";"Красноказарменная";"улица";23;"А";;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"117647, г. Москва, ул. Профсоюзная, д. 102, стр.1";117647;"Москва";"область";;;"Город";"Москва";"Профсоюзная";"улица";102;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121059, г. Москва, ул. Большая Дорогомиловская, д. 1, стр. 1";121059;"Москва";"область";;;"Город";"Москва";"Большая Дорогомиловская";"улица";1;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"117071, г. Москва, Ленинский проспект, д. 16";117071;"Москва";"область";;;"Город";"Москва";"Ленинский";"проспект";16;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"103030, г. Москва, ул. Долгоруковская, д. 39\6, стр. 1";103030;"Москва";"область";;;"Город";"Москва";"Долгоруковская";"улица";"39\6";;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125222, г. Москва, ул. Генерала Белобородова, д. 11";125222;"Москва";"область";;;"Город";"Москва";"Генерала Белобородова";"улица";11;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"109542, г. Москва, Волгоградский проспект, д.142";109542;"Москва";"область";;;"Город";"Москва";"Волгоградский";"проспект";142;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125239, г. Москва, ул. Михалковская, д. 15";125239;"Москва";"область";;;"Город";"Москва";"Михалковская";"улица";15;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"115280, г. Москва, ул. Автозаводская, д. 13\1";115280;"Москва";"область";;;"Город";"Москва";"Автозаводская";"улица";"13\1";;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"101000, г. Москва, ул. Тверская, д. 25/9, стр. 2";101000;"Москва";"область";;;"Город";"Москва";"Тверская";"улица";"25/9";;;2;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"119048, г. Москва, ул. Десятилетия Октября, д. 13";119048;"Москва";"область";;;"Город";"Москва";"Десятилетия Октября";"улица";13;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121059, г. Москва, ул. Гарибальди, д. 25, корп. 1";121059;"Москва";"область";;;"Город";"Москва";"Гарибальди";"улица";25;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121059, г. Москва, площадь Киевского вокзала, д. 2";121059;"Москва";"область";;;"Город";"Москва";"Киевского вокзала";"площадь";2;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"117519, г. Москва, ул. Вавилова, д. 86";117519;"Москва";"область";;;"Город";"Москва";"Вавилова";"улица";86;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"127221, г. Москва, ул. Полярная, д. 16, корп. 1";127221;"Москва";"область";;;"Город";"Москва";"Полярная";"улица";16;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"121248, г. Москва, Кутузовский проспект, д. 8";121248;"Москва";"область";;;"Город";"Москва";"Кутузовский";"проспект";8;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125319, г. Москва, ул. Усиевича, д. 13";125319;"Москва";"область";;;"Город";"Москва";"Усиевича";"улица";13;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"119146, г. Москва, Комсомольский проспект, д. 34, стр. 1";119146;"Москва";"область";;;"Город";"Москва";"Комсомольский";"проспект";34;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"129019, г. Москва, ул. Новый Арбат, д. 15, стр. 1";129019;"Москва";"область";;;"Город";"Москва";"Новый Арбат";"улица";15;;;1;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"125329, г. Москва, ул. Новопетровская, д. 16";125329;"Москва";"область";;;"Город";"Москва";"Новопетровская";"улица";16;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ЗАО ""Аптеки 36,6""";;;;"ЗАО ""Аптеки 36,6""";;"119261, г. Москва, просп. Ленинский, д. 70/11";119261;"Москва";"область";;;"Город";"Москва";"Ленинский";"проспект";"70/11";;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
